ins_id,time,open_px,high_px,low_px,last_px,trade_qty,trade_mv,hold_qty,last_time
SHFE.CU2207,2022-05-31 22:35:00.000,71830,71840,71820,71820,64,22984200,139627,2022-05-31 22:35:56.000
SHFE.CU2207,2022-05-31 22:36:00.000,71820,71830,71820,71820,35,12568950,139619,2022-05-31 22:36:59.500
SHFE.CU2207,2022-05-31 22:37:00.000,71820,71820,71790,71790,90,32310350,139604,2022-05-31 22:37:58.500
SHFE.CU2207,2022-05-31 22:38:00.000,71800,71810,71800,71810,38,13642950,139594,2022-05-31 22:38:59.500
SHFE.CU2207,2022-05-31 22:39:00.000,71810,71810,71800,71800,23,8257550,139584,2022-05-31 22:39:58.000
SHFE.CU2207,2022-05-31 22:40:00.000,71790,71800,71780,71790,77,27638250,139572,2022-05-31 22:40:57.000
SHFE.CU2207,2022-05-31 22:41:00.000,71790,71800,71770,71780,31,11126900,139569,2022-05-31 22:41:59.500
SHFE.CU2207,2022-05-31 22:42:00.000,71760,71780,71730,71740,226,81078050,139528,2022-05-31 22:42:59.500
SHFE.CU2207,2022-05-31 22:43:00.000,71740,71770,71730,71750,110,39461300,139536,2022-05-31 22:43:58.000
SHFE.CU2207,2022-05-31 22:44:00.000,71750,71760,71740,71750,110,39461750,139534,2022-05-31 22:44:59.500
SHFE.CU2207,2022-05-31 22:45:00.000,71750,71760,71720,71740,262,93969950,139525,2022-05-31 22:45:58.500
SHFE.CU2207,2022-05-31 22:46:00.000,71730,71740,71720,71740,197,70657150,139487,2022-05-31 22:46:59.500
SHFE.CU2207,2022-05-31 22:47:00.000,71740,71750,71730,71750,99,35511550,139468,2022-05-31 22:47:59.500
SHFE.CU2207,2022-05-31 22:48:00.000,71740,71750,71720,71730,54,19368000,139470,2022-05-31 22:48:57.000
SHFE.CU2207,2022-05-31 22:49:00.000,71730,71730,71680,71690,549,196814300,139316,2022-05-31 22:49:59.500
SHFE.CU2207,2022-05-31 22:50:00.000,71680,71700,71650,71660,813,291340800,139075,2022-05-31 22:50:59.500
SHFE.CU2207,2022-05-31 22:51:00.000,71650,71680,71650,71650,410,146914300,139144,2022-05-31 22:51:59.500
